EventName,Team,Compound,LapCount,TotalLaps,LapProportion
Saudi Arabian Grand Prix,Williams,MEDIUM,14,50,0.28
Spanish Grand Prix,Alpine,HARD,57,66,0.8636363636363636
Spanish Grand Prix,Alpine,MEDIUM,48,66,0.7272727272727273
Spanish Grand Prix,Alpine,SOFT,27,66,0.4090909090909091
Spanish Grand Prix,Aston Martin,HARD,48,66,0.7272727272727273
Spanish Grand Prix,Aston Martin,MEDIUM,46,66,0.696969696969697
Spanish Grand Prix,Aston Martin,SOFT,36,66,0.5454545454545454
Spanish Grand Prix,Ferrari,HARD,30,66,0.45454545454545453
Spanish Grand Prix,Ferrari,MEDIUM,44,66,0.6666666666666666
Spanish Grand Prix,Ferrari,SOFT,58,66,0.8787878787878788
Spanish Grand Prix,Haas F1 Team,HARD,64,66,0.9696969696969697
Spanish Grand Prix,Haas F1 Team,MEDIUM,45,66,0.6818181818181818
Spanish Grand Prix,Haas F1 Team,SOFT,22,66,0.3333333333333333
Spanish Grand Prix,Kick Sauber,HARD,61,66,0.9242424242424242
Spanish Grand Prix,Kick Sauber,MEDIUM,32,66,0.48484848484848486
Spanish Grand Prix,Kick Sauber,SOFT,37,66,0.5606060606060606
Spanish Grand Prix,McLaren,MEDIUM,49,66,0.7424242424242424
Spanish Grand Prix,McLaren,SOFT,83,66,1.2575757575757576
Spanish Grand Prix,Mercedes,HARD,30,66,0.45454545454545453
Spanish Grand Prix,Mercedes,MEDIUM,48,66,0.7272727272727273
Spanish Grand Prix,Mercedes,SOFT,54,66,0.8181818181818182
Spanish Grand Prix,RB,HARD,40,66,0.6060606060606061
Spanish Grand Prix,RB,MEDIUM,44,66,0.6666666666666666
Spanish Grand Prix,RB,SOFT,46,66,0.696969696969697
Spanish Grand Prix,Red Bull Racing,MEDIUM,45,66,0.6818181818181818
Spanish Grand Prix,Red Bull Racing,SOFT,87,66,1.3181818181818181
Spanish Grand Prix,Williams,HARD,30,66,0.45454545454545453
Spanish Grand Prix,Williams,MEDIUM,38,66,0.5757575757575758
Spanish Grand Prix,Williams,SOFT,61,66,0.9242424242424242
