EventName,DriverNumber,Compound,LapCount,TotalLaps,LapProportion
Belgian Grand Prix,16,MEDIUM,12,44,0.2727272727272727
Belgian Grand Prix,18,HARD,32,44,0.7272727272727273
Belgian Grand Prix,18,MEDIUM,12,44,0.2727272727272727
Belgian Grand Prix,20,HARD,27,44,0.6136363636363636
Belgian Grand Prix,20,MEDIUM,17,44,0.38636363636363635
Belgian Grand Prix,22,HARD,29,44,0.6590909090909091
Belgian Grand Prix,22,MEDIUM,15,44,0.3409090909090909
Belgian Grand Prix,23,HARD,21,44,0.4772727272727273
Belgian Grand Prix,23,MEDIUM,23,44,0.5227272727272727
Belgian Grand Prix,24,HARD,5,44,0.11363636363636363
Belgian Grand Prix,27,HARD,13,44,0.29545454545454547
Belgian Grand Prix,27,MEDIUM,31,44,0.7045454545454546
Belgian Grand Prix,31,HARD,32,44,0.7272727272727273
Belgian Grand Prix,31,MEDIUM,12,44,0.2727272727272727
Belgian Grand Prix,44,HARD,33,44,0.75
Belgian Grand Prix,44,MEDIUM,11,44,0.25
Belgian Grand Prix,55,HARD,36,44,0.8181818181818182
Belgian Grand Prix,55,MEDIUM,8,44,0.18181818181818182
Belgian Grand Prix,63,HARD,34,44,0.7727272727272727
Belgian Grand Prix,63,MEDIUM,10,44,0.22727272727272727
Belgian Grand Prix,77,HARD,24,44,0.5454545454545454
Belgian Grand Prix,77,MEDIUM,20,44,0.45454545454545453
Belgian Grand Prix,81,HARD,33,44,0.75
Belgian Grand Prix,81,MEDIUM,11,44,0.25
British Grand Prix,1,HARD,14,52,0.2692307692307692
British Grand Prix,1,INTERMEDIATE,12,52,0.23076923076923078
British Grand Prix,1,MEDIUM,26,52,0.5
British Grand Prix,2,INTERMEDIATE,11,52,0.21153846153846154
British Grand Prix,2,MEDIUM,27,52,0.5192307692307693
British Grand Prix,2,SOFT,14,52,0.2692307692307692
British Grand Prix,3,INTERMEDIATE,11,52,0.21153846153846154
British Grand Prix,3,MEDIUM,26,52,0.5
British Grand Prix,3,SOFT,14,52,0.2692307692307692
British Grand Prix,4,INTERMEDIATE,12,52,0.23076923076923078
British Grand Prix,4,MEDIUM,27,52,0.5192307692307693
British Grand Prix,4,SOFT,13,52,0.25
British Grand Prix,10,MEDIUM,1,52,0.019230769230769232
British Grand Prix,11,HARD,19,52,0.36538461538461536
British Grand Prix,11,INTERMEDIATE,18,52,0.34615384615384615
British Grand Prix,11,MEDIUM,10,52,0.19230769230769232
British Grand Prix,11,SOFT,3,52,0.057692307692307696
British Grand Prix,14,INTERMEDIATE,11,52,0.21153846153846154
British Grand Prix,14,MEDIUM,41,52,0.7884615384615384
British Grand Prix,16,INTERMEDIATE,18,52,0.34615384615384615
British Grand Prix,16,MEDIUM,19,52,0.36538461538461536
British Grand Prix,16,SOFT,14,52,0.2692307692307692
British Grand Prix,18,INTERMEDIATE,13,52,0.25
British Grand Prix,18,MEDIUM,39,52,0.75
British Grand Prix,20,INTERMEDIATE,10,52,0.19230769230769232
British Grand Prix,20,MEDIUM,27,52,0.5192307692307693
British Grand Prix,20,SOFT,15,52,0.28846153846153844
British Grand Prix,22,INTERMEDIATE,11,52,0.21153846153846154
British Grand Prix,22,MEDIUM,27,52,0.5192307692307693
British Grand Prix,22,SOFT,14,52,0.2692307692307692
British Grand Prix,23,INTERMEDIATE,11,52,0.21153846153846154
British Grand Prix,23,MEDIUM,41,52,0.7884615384615384
British Grand Prix,24,INTERMEDIATE,18,52,0.34615384615384615
British Grand Prix,24,MEDIUM,7,52,0.1346153846153846
British Grand Prix,24,SOFT,25,52,0.4807692307692308
British Grand Prix,27,INTERMEDIATE,13,52,0.25
British Grand Prix,27,MEDIUM,26,52,0.5
British Grand Prix,27,SOFT,13,52,0.25
British Grand Prix,31,INTERMEDIATE,14,52,0.2692307692307692
British Grand Prix,31,MEDIUM,17,52,0.3269230769230769
British Grand Prix,31,SOFT,19,52,0.36538461538461536
British Grand Prix,44,INTERMEDIATE,11,52,0.21153846153846154
British Grand Prix,44,MEDIUM,27,52,0.5192307692307693
British Grand Prix,44,SOFT,14,52,0.2692307692307692
British Grand Prix,55,HARD,11,52,0.21153846153846154
British Grand Prix,55,INTERMEDIATE,13,52,0.25
British Grand Prix,55,MEDIUM,26,52,0.5
British Grand Prix,55,SOFT,2,52,0.038461538461538464
British Grand Prix,63,INTERMEDIATE,6,52,0.11538461538461539
British Grand Prix,63,MEDIUM,27,52,0.5192307692307693
British Grand Prix,77,INTERMEDIATE,11,52,0.21153846153846154
British Grand Prix,77,MEDIUM,26,52,0.5
